symbol,side,signal_time,entry_time,exit_time,entry_price,initial_stop,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,r_multiple
LT,short,2026-06-18 10:15:00+05:30,2026-06-18 10:25:00+05:30,2026-06-18 10:45:00+05:30,4193.902,4202.0,4183.8459,29,target,291.63,72.89,218.74,0.9314
TCS,short,2026-06-18 12:40:00+05:30,2026-06-18 12:45:00+05:30,2026-06-18 12:50:00+05:30,2184.907,2188.8999,2189.9944,57,stop,-289.98,74.81,-364.79,-1.6028
SBIN,long,2026-06-18 13:30:00+05:30,2026-06-18 13:35:00+05:30,2026-06-18 14:35:00+05:30,1042.3209,1038.95,1041.1292,119,stop,-141.82,74.38,-216.2,-0.5389
RELIANCE,short,2026-06-18 14:25:00+05:30,2026-06-18 14:30:00+05:30,2026-06-18 15:00:00+05:30,1322.0386,1326.3,1325.6625,94,stop,-340.65,74.67,-415.31,-1.0368
AXISBANK,short,2026-06-19 10:00:00+05:30,2026-06-19 10:10:00+05:30,2026-06-19 11:10:00+05:30,1353.2231,1355.9,1353.7765,92,stop,-50.92,74.71,-125.63,-0.5101
ICICIBANK,long,2026-06-19 11:25:00+05:30,2026-06-19 11:35:00+05:30,2026-06-19 12:00:00+05:30,1349.4744,1347.1,1347.0261,92,stop,-225.25,74.42,-299.67,-1.3718
LT,long,2026-06-19 11:55:00+05:30,2026-06-19 12:00:00+05:30,2026-06-19 12:25:00+05:30,4206.0019,4181.1001,4202.4978,29,stop,-101.62,73.15,-174.77,-0.242
KOTAKBANK,short,2026-06-19 12:35:00+05:30,2026-06-19 12:40:00+05:30,2026-06-19 13:10:00+05:30,399.6001,400.15,398.9746,312,target,195.15,74.75,120.4,0.7018
SBIN,short,2026-06-19 12:55:00+05:30,2026-06-19 13:00:00+05:30,2026-06-19 13:15:00+05:30,1030.3846,1032.85,1033.0663,121,stop,-324.49,74.9,-399.39,-1.3388
HDFCBANK,short,2026-06-19 12:55:00+05:30,2026-06-19 13:00:00+05:30,2026-06-19 13:30:00+05:30,777.611,778.95,777.8887,160,stop,-44.44,74.66,-119.1,-0.5559
RELIANCE,short,2026-06-19 13:05:00+05:30,2026-06-19 13:10:00+05:30,2026-06-19 13:30:00+05:30,1323.8378,1326.0,1326.663,94,stop,-265.57,74.74,-340.32,-1.6744
AXISBANK,long,2026-06-22 11:20:00+05:30,2026-06-22 11:25:00+05:30,2026-06-22 11:40:00+05:30,1365.5825,1362.2,1361.8188,91,stop,-342.5,74.46,-416.96,-1.3546
LT,short,2026-06-22 12:25:00+05:30,2026-06-22 12:30:00+05:30,2026-06-22 13:20:00+05:30,4197.5003,4204.1001,4198.098,29,stop,-17.33,73.04,-90.38,-0.4722
ITC,short,2026-06-22 13:00:00+05:30,2026-06-22 13:05:00+05:30,2026-06-22 13:35:00+05:30,290.6546,291.15,290.7453,430,stop,-39.01,75.0,-114.01,-0.5352
AXISBANK,long,2026-06-23 09:35:00+05:30,2026-06-23 09:40:00+05:30,2026-06-23 09:55:00+05:30,1367.7835,1361.8,1362.7183,91,stop,-460.93,74.54,-535.48,-0.9834
HDFCBANK,long,2026-06-23 09:50:00+05:30,2026-06-23 09:55:00+05:30,2026-06-23 10:10:00+05:30,788.9943,786.45,787.8559,158,stop,-179.87,74.74,-254.61,-0.6334
ITC,long,2026-06-23 09:45:00+05:30,2026-06-23 09:50:00+05:30,2026-06-23 10:15:00+05:30,292.3461,291.45,292.4037,427,stop,24.6,74.91,-50.31,-0.1315
LT,long,2026-06-23 10:55:00+05:30,2026-06-23 11:00:00+05:30,2026-06-23 11:10:00+05:30,4230.0139,4223.2002,4238.1142,29,target,234.91,73.67,161.24,0.816
KOTAKBANK,long,2026-06-23 11:05:00+05:30,2026-06-23 11:10:00+05:30,2026-06-23 11:25:00+05:30,404.9024,403.7,403.9979,308,stop,-278.57,74.74,-353.31,-0.9541
