exit_time,equity,net_pnl
2026-07-03 10:45:00+05:30,457050.85,-310.5
2026-07-03 11:05:00+05:30,456719.61,-331.24
2026-07-03 11:25:00+05:30,456450.37,-269.24
2026-07-03 12:25:00+05:30,456108.52,-341.85
2026-07-03 12:50:00+05:30,455628.29,-480.23
2026-07-03 14:15:00+05:30,455214.81,-413.48
2026-07-03 14:55:00+05:30,454863.85,-350.96
2026-07-06 10:45:00+05:30,454741.05,-122.8
2026-07-06 11:20:00+05:30,454674.1,-66.95
2026-07-06 11:20:00+05:30,454505.94,-168.16
2026-07-06 11:55:00+05:30,454187.91,-318.03
2026-07-06 11:55:00+05:30,453984.29,-203.62
2026-07-06 13:25:00+05:30,453487.66,-496.63
2026-07-06 14:30:00+05:30,453173.29,-314.37
2026-07-06 14:50:00+05:30,452824.08999999997,-349.2
2026-07-07 10:45:00+05:30,452137.79,-686.3
2026-07-07 11:40:00+05:30,451654.99,-482.8
2026-07-07 12:00:00+05:30,451170.33999999997,-484.65
2026-07-07 13:00:00+05:30,450941.51,-228.83
2026-07-07 13:05:00+05:30,450715.39999999997,-226.11
2026-07-07 14:15:00+05:30,450304.20999999996,-411.19
2026-07-07 14:25:00+05:30,449881.12,-423.09
2026-07-08 10:00:00+05:30,449161.20999999996,-719.91
2026-07-08 10:35:00+05:30,448505.5,-655.71
2026-07-08 10:55:00+05:30,447872.64999999997,-632.85
2026-07-08 12:00:00+05:30,448331.38,458.73
2026-07-08 12:40:00+05:30,448610.73,279.35
2026-07-08 14:10:00+05:30,448863.69,252.96
2026-07-08 15:05:00+05:30,449879.31999999995,1015.63
2026-07-09 10:35:00+05:30,449368.92,-510.4
2026-07-09 11:00:00+05:30,448983.69999999995,-385.22
2026-07-09 11:35:00+05:30,448617.26999999996,-366.43
2026-07-09 13:15:00+05:30,447868.06,-749.21
2026-07-09 13:30:00+05:30,447399.13,-468.93
2026-07-09 14:40:00+05:30,446957.70999999996,-441.42
2026-07-10 10:50:00+05:30,446660.36,-297.35
2026-07-10 11:40:00+05:30,446748.8,88.44
2026-07-10 12:20:00+05:30,446379.91,-368.89
2026-07-10 13:10:00+05:30,445861.64,-518.27
2026-07-10 13:20:00+05:30,445806.41,-55.23
2026-07-10 13:55:00+05:30,445410.58999999997,-395.82
2026-07-13 10:10:00+05:30,445023.16,-387.43
2026-07-13 11:10:00+05:30,445883.44999999995,860.29
2026-07-13 11:10:00+05:30,445563.67,-319.78
2026-07-13 12:05:00+05:30,445325.76999999996,-237.9
2026-07-13 12:50:00+05:30,445824.44999999995,498.68
2026-07-13 13:25:00+05:30,445486.0,-338.45
2026-07-14 10:25:00+05:30,444886.93,-599.07
2026-07-14 11:10:00+05:30,445336.63,449.7
2026-07-14 11:10:00+05:30,445357.1,20.47
2026-07-14 11:25:00+05:30,444975.69,-381.41
2026-07-14 13:55:00+05:30,444549.05,-426.64
2026-07-14 14:20:00+05:30,444674.75,125.7
2026-07-15 10:55:00+05:30,444520.24,-154.51
2026-07-15 11:35:00+05:30,443963.75999999995,-556.48
2026-07-15 11:45:00+05:30,443544.49,-419.27
2026-07-15 12:20:00+05:30,443823.54,279.05
2026-07-15 12:45:00+05:30,443469.39999999997,-354.14
2026-07-15 13:00:00+05:30,443698.26999999996,228.87
2026-07-15 15:15:00+05:30,442930.70999999996,-767.56
2026-07-16 10:40:00+05:30,442969.02999999997,38.32
2026-07-16 10:45:00+05:30,442515.24,-453.79
2026-07-16 11:05:00+05:30,442282.99,-232.25
2026-07-16 11:10:00+05:30,441986.41,-296.58
2026-07-16 11:15:00+05:30,441741.82999999996,-244.58
2026-07-16 11:40:00+05:30,441359.27999999997,-382.55
2026-07-16 12:50:00+05:30,440964.11,-395.17
2026-07-17 09:40:00+05:30,440387.76,-576.35
2026-07-17 10:10:00+05:30,440738.72,350.96
2026-07-17 10:15:00+05:30,441132.0,393.28
2026-07-17 10:35:00+05:30,440691.76999999996,-440.23
2026-07-17 10:45:00+05:30,440180.66,-511.11
2026-07-17 11:10:00+05:30,439708.49,-472.17
2026-07-17 12:50:00+05:30,439311.87,-396.62
2026-07-17 14:30:00+05:30,438778.13999999996,-533.73
2026-07-20 10:20:00+05:30,438259.82999999996,-518.31
2026-07-20 10:55:00+05:30,438680.82999999996,421.0
2026-07-20 12:05:00+05:30,438713.48,32.65
2026-07-20 12:50:00+05:30,438319.85,-393.63
2026-07-20 14:15:00+05:30,438496.61,176.76
2026-07-21 09:35:00+05:30,437807.18,-689.43
2026-07-21 10:25:00+05:30,437229.68,-577.5
2026-07-21 10:55:00+05:30,436969.63999999996,-260.04
2026-07-21 11:05:00+05:30,436664.56,-305.08
2026-07-21 12:50:00+05:30,437006.05,341.49
2026-07-21 12:55:00+05:30,436756.61,-249.44
2026-07-21 13:20:00+05:30,436132.88999999996,-623.72
2026-07-21 14:15:00+05:30,436456.44999999995,323.56
2026-07-22 11:10:00+05:30,436301.24,-155.21
2026-07-22 11:20:00+05:30,435968.58999999997,-332.65
2026-07-22 12:00:00+05:30,435685.5,-283.09
2026-07-22 12:15:00+05:30,435285.33999999997,-400.16
2026-07-22 12:15:00+05:30,435216.55999999994,-68.78
2026-07-22 12:15:00+05:30,435457.16,240.6
2026-07-22 13:15:00+05:30,435116.49,-340.67
2026-07-22 13:35:00+05:30,434758.37,-358.12
2026-07-22 13:40:00+05:30,434466.85,-291.52
2026-07-23 10:50:00+05:30,434706.87999999995,240.03
2026-07-23 12:00:00+05:30,434348.89999999997,-357.98
2026-07-23 12:00:00+05:30,434674.54,325.64
2026-07-23 12:20:00+05:30,434369.92,-304.62
2026-07-23 12:30:00+05:30,434492.54,122.62
2026-07-23 14:20:00+05:30,434139.75999999995,-352.78
2026-07-23 14:50:00+05:30,434287.49,147.73
2026-07-23 14:55:00+05:30,433820.33999999997,-467.15
2026-07-24 10:40:00+05:30,433576.63999999996,-243.7
2026-07-24 10:40:00+05:30,433143.61,-433.03
2026-07-24 11:20:00+05:30,433449.12,305.51
2026-07-24 12:05:00+05:30,433119.68999999994,-329.43
2026-07-24 12:20:00+05:30,432818.1,-301.59
2026-07-24 14:20:00+05:30,432468.57999999996,-349.52
2026-07-24 14:30:00+05:30,432293.6,-174.98
2026-07-27 10:50:00+05:30,432186.74,-106.86
2026-07-27 11:10:00+05:30,431561.43999999994,-625.3
2026-07-27 11:45:00+05:30,431392.01999999996,-169.42
2026-07-27 12:55:00+05:30,431072.26,-319.76
2026-07-27 13:00:00+05:30,430786.39,-285.87
2026-07-27 13:15:00+05:30,430359.0,-427.39
2026-07-27 13:25:00+05:30,430217.92,-141.08
2026-07-27 14:15:00+05:30,430419.37,201.45
2026-07-28 09:25:00+05:30,429913.37,-506.0
2026-07-28 10:25:00+05:30,429270.13,-643.24
2026-07-28 10:35:00+05:30,428721.95999999996,-548.17
2026-07-28 10:35:00+05:30,428437.77999999997,-284.18
2026-07-28 12:15:00+05:30,428020.69999999995,-417.08
2026-07-28 12:25:00+05:30,427967.02999999997,-53.67
2026-07-28 13:40:00+05:30,428126.56999999995,159.54
2026-07-29 10:45:00+05:30,427775.01,-351.56
2026-07-29 12:30:00+05:30,427256.98,-518.03
2026-07-29 14:10:00+05:30,426848.52999999997,-408.45
2026-07-29 14:35:00+05:30,426532.76,-315.77
